codigo_unidade_gestora;codigo_unidade_orcamentaria;numero_empenho;classificacao;data_empenho;codigo_credor;nome_credor;valor_contratado;valor_pago
201157;02110;'0002477;339030;06/05/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;656.75;656.75
201157;02110;'0002480;339030;06/05/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;30680.15;0.0
201157;02110;'0002484;339030;06/05/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;30680.15;92040.45
201157;02110;'0002485;339030;06/05/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;27064.3;27064.3
201157;02110;'0002487;339030;06/05/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;51154.36;51154.36
201157;02110;'0002757;339030;14/05/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;1472.0;1472.0
201157;02110;'0002758;339030;14/05/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;5846.64;5846.64
201157;02110;'0002760;339030;14/05/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;0.0;0.0
201157;02110;'0003548;339030;11/06/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;1940.94;1940.94
201157;02110;'0003549;339030;11/06/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;16296.56;16296.56
201157;02110;'0003550;339030;11/06/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;5843.5;5843.5
201157;02110;'0003551;339030;11/06/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;5436.0;5436.0
201157;02110;'0003572;339030;12/06/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;14725.78;14725.78
