codigo_unidade_gestora;codigo_unidade_orcamentaria;numero_empenho;classificacao;data_empenho;codigo_credor;nome_credor;valor_contratado;valor_pago
201157;02020;'0000001;339047;02/01/2024;'00000000280704;BANCO DO BRASIL S/A;957690.06;957690.06
201157;02020;'0000002;339047;02/01/2024;'00000000280704;BANCO DO BRASIL S/A;235.41;235.41
201157;02020;'0000012;339039;02/01/2024;'00000000280704;BANCO DO BRASIL S/A;5.7;5.7
201157;02020;'0000016;339039;04/01/2024;'00000000280704;BANCO DO BRASIL S/A;4.6;4.6
201157;02020;'0000034;339039;08/01/2024;'00000000280704;BANCO DO BRASIL S/A;67.2;67.2
201157;02020;'0000036;339039;09/01/2024;'00000000280704;BANCO DO BRASIL S/A;60.0;60.0
201157;02020;'0000038;339039;09/01/2024;'00000000280704;BANCO DO BRASIL S/A;164.4;164.4
201157;02040;'0000044;339039;10/01/2024;'00000000280704;BANCO DO BRASIL S/A;48.0;48.0
201157;02020;'0000045;339039;10/01/2024;'00000000280704;BANCO DO BRASIL S/A;420.6;420.6
201157;02020;'0000046;339039;10/01/2024;'00000000280704;BANCO DO BRASIL S/A;180.0;180.0
201157;02020;'0000052;339039;11/01/2024;'00000000280704;BANCO DO BRASIL S/A;168.0;168.0
201157;02020;'0000053;339039;11/01/2024;'00000000280704;BANCO DO BRASIL S/A;276.2;276.2
201157;02020;'0000059;339039;12/01/2024;'00000000280704;BANCO DO BRASIL S/A;612.0;612.0
201157;02020;'0000060;339039;12/01/2024;'00000000280704;BANCO DO BRASIL S/A;677.4;677.4
201157;02020;'0000065;339039;15/01/2024;'00000000280704;BANCO DO BRASIL S/A;12.0;12.0
201157;02020;'0000066;339039;15/01/2024;'00000000280704;BANCO DO BRASIL S/A;590.4;590.4
201157;02020;'0000080;339039;16/01/2024;'00000000280704;BANCO DO BRASIL S/A;36.0;36.0
201157;02020;'0000081;339039;16/01/2024;'00000000280704;BANCO DO BRASIL S/A;709.2;709.2
201157;02020;'0000092;339039;17/01/2024;'00000000280704;BANCO DO BRASIL S/A;12.0;12.0
201157;02020;'0000093;339039;17/01/2024;'00000000280704;BANCO DO BRASIL S/A;685.8;685.8
201157;02020;'0000109;339039;18/01/2024;'00000000280704;BANCO DO BRASIL S/A;477.2;477.2
201157;02020;'0000121;339039;19/01/2024;'00000000280704;BANCO DO BRASIL S/A;60.0;60.0
201157;02020;'0000122;339039;19/01/2024;'00000000280704;BANCO DO BRASIL S/A;301.6;301.6
201157;02020;'0000123;339039;19/01/2024;'00000000280704;BANCO DO BRASIL S/A;12.0;12.0
201157;02020;'0000125;339039;22/01/2024;'00000000280704;BANCO DO BRASIL S/A;190.4;190.4
201157;02020;'0000131;339039;23/01/2024;'00000000280704;BANCO DO BRASIL S/A;12.0;12.0
201157;02020;'0000133;339039;23/01/2024;'00000000280704;BANCO DO BRASIL S/A;379.4;379.4
201157;02020;'0000134;339039;24/01/2024;'00000000280704;BANCO DO BRASIL S/A;378.6;378.6
201157;02020;'0000151;339039;25/01/2024;'00000000280704;BANCO DO BRASIL S/A;163.0;163.0
201157;02020;'0000166;339039;26/01/2024;'00000000280704;BANCO DO BRASIL S/A;12.0;12.0
201157;02020;'0000167;339039;26/01/2024;'00000000280704;BANCO DO BRASIL S/A;367.6;367.6
201157;02020;'0000260;339039;30/01/2024;'00000000280704;BANCO DO BRASIL S/A;350.2;350.2
201157;02020;'0000261;339039;30/01/2024;'00000000280704;BANCO DO BRASIL S/A;72.0;72.0
201157;02020;'0000262;339039;30/01/2024;'00000000280704;BANCO DO BRASIL S/A;298.8;298.8
201157;02040;'0000263;339039;30/01/2024;'00000000280704;BANCO DO BRASIL S/A;36.0;36.0
201157;02020;'0000266;339039;31/01/2024;'00000000280704;BANCO DO BRASIL S/A;336.0;336.0
201157;02020;'0000267;339039;31/01/2024;'00000000280704;BANCO DO BRASIL S/A;766.4;766.4
201157;02020;'0000269;339039;01/02/2024;'00000000280704;BANCO DO BRASIL S/A;41.7;41.7
201157;02020;'0000271;339039;01/02/2024;'00000000280704;BANCO DO BRASIL S/A;738.4;738.4
201157;02020;'0000286;339039;02/02/2024;'00000000280704;BANCO DO BRASIL S/A;12.0;12.0
201157;02020;'0000287;339039;02/02/2024;'00000000280704;BANCO DO BRASIL S/A;1556.0;1556.0
201157;02020;'0000317;339039;05/02/2024;'00000000280704;BANCO DO BRASIL S/A;100.8;100.8
201157;02020;'0000765;339039;27/02/2024;'00000000280704;BANCO DO BRASIL S/A;12.0;12.0
201157;02020;'0000766;339039;27/02/2024;'00000000280704;BANCO DO BRASIL S/A;293.4;293.4
201157;02020;'0000826;339039;28/02/2024;'00000000280704;BANCO DO BRASIL S/A;72.0;72.0
201157;02020;'0000827;339039;28/02/2024;'00000000280704;BANCO DO BRASIL S/A;230.6;230.6
201157;02040;'0000828;339039;28/02/2024;'00000000280704;BANCO DO BRASIL S/A;36.0;36.0
201157;02020;'0000837;339039;29/02/2024;'00000000280704;BANCO DO BRASIL S/A;72.0;72.0
201157;02020;'0000844;339039;29/02/2024;'00000000280704;BANCO DO BRASIL S/A;214.4;214.4
201157;02040;'0000846;339039;29/02/2024;'00000000280704;BANCO DO BRASIL S/A;24.0;24.0
201157;02020;'0000364;339039;06/02/2024;'00000000280704;BANCO DO BRASIL S/A;24.0;24.0
201157;02020;'0000365;339039;06/02/2024;'00000000280704;BANCO DO BRASIL S/A;59.0;59.0
201157;02020;'0000389;339039;07/02/2024;'00000000280704;BANCO DO BRASIL S/A;39.6;39.6
201157;02020;'0000390;339039;07/02/2024;'00000000280704;BANCO DO BRASIL S/A;180.0;180.0
201157;02020;'0000417;339039;08/02/2024;'00000000280704;BANCO DO BRASIL S/A;120.0;120.0
201157;02020;'0000420;339039;08/02/2024;'00000000280704;BANCO DO BRASIL S/A;37.8;37.8
201157;02020;'0000445;339039;09/02/2024;'00000000280704;BANCO DO BRASIL S/A;36.4;36.4
201157;02020;'0000446;339039;09/02/2024;'00000000280704;BANCO DO BRASIL S/A;132.0;132.0
201157;02020;'0000448;339039;14/02/2024;'00000000280704;BANCO DO BRASIL S/A;190.4;190.4
201157;02020;'0000456;339039;15/02/2024;'00000000280704;BANCO DO BRASIL S/A;258.4;258.4
201157;02020;'0000457;339039;15/02/2024;'00000000280704;BANCO DO BRASIL S/A;36.0;36.0
201157;02020;'0000466;339039;16/02/2024;'00000000280704;BANCO DO BRASIL S/A;12.0;12.0
201157;02020;'0000483;339039;19/02/2024;'00000000280704;BANCO DO BRASIL S/A;24.0;24.0
201157;02020;'0000484;339039;19/02/2024;'00000000280704;BANCO DO BRASIL S/A;220.0;220.0
201157;02020;'0000521;339039;20/02/2024;'00000000280704;BANCO DO BRASIL S/A;36.0;36.0
201157;02020;'0000522;339039;20/02/2024;'00000000280704;BANCO DO BRASIL S/A;44.2;44.2
201157;02020;'0000591;339039;21/02/2024;'00000000280704;BANCO DO BRASIL S/A;312.0;312.0
201157;02020;'0000592;339039;21/02/2024;'00000000280704;BANCO DO BRASIL S/A;82.0;82.0
201157;02020;'0000630;339039;22/02/2024;'00000000280704;BANCO DO BRASIL S/A;60.0;60.0
201157;02020;'0000631;339039;22/02/2024;'00000000280704;BANCO DO BRASIL S/A;150.0;150.0
201157;02020;'0000633;339039;22/02/2024;'00000000280704;BANCO DO BRASIL S/A;48.0;48.0
201157;02020;'0000645;339039;23/02/2024;'00000000280704;BANCO DO BRASIL S/A;24.0;24.0
201157;02020;'0000647;339039;23/02/2024;'00000000280704;BANCO DO BRASIL S/A;209.6;209.6
201157;02020;'0000723;339039;26/02/2024;'00000000280704;BANCO DO BRASIL S/A;12.0;12.0
201157;02020;'0000724;339039;26/02/2024;'00000000280704;BANCO DO BRASIL S/A;35.0;35.0
201157;02020;'0000856;339039;01/03/2024;'00000000280704;BANCO DO BRASIL S/A;168.0;168.0
201157;02020;'0000858;339039;01/03/2024;'00000000280704;BANCO DO BRASIL S/A;5.7;5.7
201157;02020;'0000860;339039;01/03/2024;'00000000280704;BANCO DO BRASIL S/A;155.0;155.0
201157;02020;'0000884;339039;04/03/2024;'00000000280704;BANCO DO BRASIL S/A;144.0;144.0
201157;02020;'0000885;339039;04/03/2024;'00000000280704;BANCO DO BRASIL S/A;360.2;360.2
201157;02020;'0001375;339039;26/03/2024;'00000000280704;BANCO DO BRASIL S/A;84.0;84.0
201157;02020;'0001376;339039;26/03/2024;'00000000280704;BANCO DO BRASIL S/A;90.4;90.4
201157;02040;'0001377;339039;26/03/2024;'00000000280704;BANCO DO BRASIL S/A;36.0;36.0
201157;02020;'0001402;339039;27/03/2024;'00000000280704;BANCO DO BRASIL S/A;108.0;108.0
201157;02020;'0001403;339039;27/03/2024;'00000000280704;BANCO DO BRASIL S/A;24.0;24.0
201157;02020;'0001405;339039;27/03/2024;'00000000280704;BANCO DO BRASIL S/A;47.4;47.4
201157;02020;'0001406;339039;27/03/2024;'00000000280704;BANCO DO BRASIL S/A;72.0;72.0
201157;02020;'0001407;339039;27/03/2024;'00000000280704;BANCO DO BRASIL S/A;24.0;24.0
201157;02020;'0001410;339039;27/03/2024;'00000000280704;BANCO DO BRASIL S/A;12.0;12.0
201157;02020;'0001420;339039;28/03/2024;'00000000280704;BANCO DO BRASIL S/A;117.6;117.6
201157;02020;'0000914;339039;05/03/2024;'00000000280704;BANCO DO BRASIL S/A;24.0;24.0
201157;02020;'0000916;339039;05/03/2024;'00000000280704;BANCO DO BRASIL S/A;89.8;89.8
